"ID",Status,Supplier,LogP_exp,pH of analysis,smiles
ZINC18162323,Validated,Vitas‐M,4.3,"6,5",c1ccc(cc1)NC(=O)CN2[C@@H]3[C@@H](C(=O)N(C3=O)c4ccc(cc4Cl)Cl)N=N2
ZINC02788109,Validated,Ambinter,4.43,5,CCn1ccc(n1)CN(C)C(=O)c2ccccc2COc3ccc(cc3F)F
ZINC17077865,Validated,Ambinter,4.4,10,Cc1ccc(c(c1)OCc2ccc(o2)c3nc4c5cn[nH]c5ncn4n3)Cl
ZINC00612808,Validated,ChemBridge,1.85,"7,3",c1ccc(cc1)OCc2nnc(n2N)SC(F)F
ZINC02792340,Validated,Vitas‐M,3.53,"10,5",CCn1c(nnc1SCC(=O)NCC=C)CCn2c(c(c(n2)C)Br)C
ZINC00467599,Validated,ChemBridge,3.54,5,c1cc(oc1COc2c(c(cc(c2F)F)F)F)C(=O)NC3CC3
ZINC02801329,Validated,ChemBridge,3.89,10,CCOCCOC(=O)C1=C(NC2=C([C@@H]1c3ccc(cc3)C)C(=O)CCC2)C
ZINC02802395,Validated,Vitas‐M,3.73,"10,5",C[C@@H](c1nc2c3cnn(c3ncn2n1)c4ccccc4)n5cc(cn5)[N+](=O)[O-]
ZINC02802544,Validated,ChemBridge,3.85,"7,3",CCn1c(nnc1SCc2nc3c4cnn(c4ncn3n2)C)c5cc(n(n5)C)C(F)(F)F
ZINC02803312,Validated,ChemBridge,4.52,5,CCOC(=O)N1CCN(CC1)C(=O)c2c3c(on2)CC[C@@H](C3)C(C)(C)C
ZINC02803816,Validated,ChemBridge,4.92,10,Cc1cc(n2c(n1)cc(n2)c3nnc(o3)c4cccc(c4)C(F)(F)F)C(F)(F)F
ZINC02803917,Validated,Vitas‐M,3.9,"6,5",CCCOC(=O)c1c(c(sc1NC(=O)C2CCN(CC2)S(=O)(=O)C)C(=O)N)C
ZINC01457198,Validated,ChemBridge,5.16,5,CC(C)COc1ccc(cc1)C(=O)N2[C@@](CC(=N2)C(F)F)(C(F)F)O
ZINC02807448,Validated,Specs,5.77,"6,5",CC(C)(C)c1cc(nc(n1)SCCNC(=O)C2CCCCC2)C(F)(F)F
ZINC02807950,Validated,Ambinter,3.77,5,CCn1cc(cn1)c2nc3c4c(c(sc4ncn3n2)C)C
ZINC02811943,Validated,ChemBridge,1.04,"10,5",CCCNC(=O)N1CCN(CC1)C(=O)NCCC
ZINC00284059,Validated,ChemBridge,3.62,5,c1ccc(cc1)C(=O)[C@H](NC(=O)c2ccccc2)Sc3ncccn3
ZINC02815047,Validated,ChemBridge,4.43,"10,5",Cc1cc(n2c(n1)nnc2SCc3ccc(cc3)C(=O)c4ccccc4)C
ZINC01133653,Validated,ChemBridge,3.8,"6,5",CC(=O)N[C@@H]1[C@H]([C@H]2[C@@H](COC(O2)(C)C)O[C@@H]1Oc3cccc4c3cccc4)O
ZINC00627547,Validated,Specs,4.77,"10,5",CCOC(=O)C1=C(N=c2n(c(=O)/c(=C/c3ccc(cc3)OC(=O)C)/s2)[C@H]1c4cccs4)C
ZINC02818256,Validated,ChemBridge,4.66,"10,5",CCOC(=O)c1c(nc(s1)NCCNc2nc(c(s2)C(=O)OCC)C)C
ZINC02828452,Validated,ChemBridge,3.45,5,CC(C)(C)N(C)C(=O)c1c(c(c(c(c1F)F)F)F)F
ZINC09886132,Validated,ChemBridge,5.51,5,CCCC[C@H](CC)Cn1c2c(nc1SCC(=O)Nc3ccc(cc3)OC)n(c(=O)n(c2=O)C)C
ZINC02832643,Validated,ChemBridge,4.62,5,c1cc2c(cc1Br)c(cn2CC(=O)N3CCCCCC3)C(=O)C(F)(F)F
ZINC02835695,Validated,ChemBridge,4.03,2,c1ccc(cc1)S/C=C/C=C/S(=O)(=O)c2ccccc2
ZINC04978849,Validated,ChemBridge,4.26,9,Cc1cc(c(s1)C)c2c3c([nH]n2)OC(=C([C@H]3c4ccc(cc4)NC(=O)C)C#N)N
ZINC02841799,Validated,ChemBridge,4.93,7,Cc1c2c(n(n1)c3cccc(c3)Cl)OC(=C([C@@H]2c4ccc(cc4)NC(=O)C)C#N)N
ZINC02842393,Validated,ChemBridge,2.95,10,c1cc(c(cc1)[N+](=O)[O-])/C=N/c2ccc(cc2)/N=C/c3c(cccc3)[N+](=O)[O-]
ZINC02843413,Validated,ChemBridge,5.05,"6,5",c1ccc(cc1)C(=O)[C@@H]2[C@H](C([C@@H]3N2c4ccccc4C=C3)(C#N)C#N)c5ccc(s5)Br
ZINC02843454,Validated,ChemBridge,3.2,5,CN(CCO)S(=O)(=O)c1ccc2c3ccc(cc3oc(=O)c2c1)S(=O)(=O)N(C)CCO
ZINC04713445,Validated,ChemBridge,4.09,10,CCOCc1c(cc(c(c1C)[C@H]2c3c(n[nH]c3OC(=C2C#N)N)C)C)C
ZINC04713445,Validated,ChemBridge,4.09,10,CCOCc1c(cc(c(c1C)[C@H]2c3c([nH]nc3OC(=C2C#N)N)C)C)C
ZINC02846785,Validated,ChemBridge,4.37,2,Cc1ccccc1O[C@H]2[C@@H](N(C2=O)Cc3ccc4c(c3)OCO4)c5ccc6c(c5)OCO6
ZINC00710587,Validated,ChemDiv,6.27,5,Cc1ccc(cc1Cl)NC(=O)CSC2=C([C@@H](C(=C(N2)C)C(=O)Nc3ccccc3OC)c4ccco4)C#N
ZINC00055548,Validated,ChemBridge,2.14,5,c1cc(sc1)S(=O)(=O)/N=C/c2ccc(cc2)Br
ZINC02850645,Validated,ChemBridge,5.08,5,Cc1ccc(cc1)SCC(=O)NCc2cccc(c2)CNC(=O)CSc3ccc(cc3)C
ZINC02852778,Validated,ChemBridge,4.73,5,c1ccc2c(c1)C(=O)N(S2(=O)=O)CC(=O)Nc3ccc(cc3)S(=O)(=O)N4CCCCCC4
ZINC01151809,Validated,ChemBridge,4.49,5,Cc1ccc(cc1)c2nc3n(n2)C(=O)C[C@@H](S3)c4cccc(c4)[N+](=O)[O-]
ZINC02860956,Validated,ChemBridge,4.57,5,CC(C)c1ccc(cc1)CNC(=O)C(=O)NCCCOC(C)C
ZINC00054730,Validated,Specs,3.44,5,COc1cc(cc(c1OC)OC)C(=O)Nc2cccc(c2)C#N
ZINC01183526,Validated,ChemBridge,4.93,"10,5",CCOc1ccc(cc1)N2CN=c3n(c(=O)/c(=C/c4cc(c(cc4[N+](=O)[O-])OC)OC)/s3)C2
ZINC02864899,Validated,ChemBridge,5.63,5,Cc1ccccc1N[C@@H](c2ccccc2F)P(=O)(OC(C)C)OC(C)C
ZINC00870523,Validated,ChemBridge,4.24,"7,3",CCn1c(nnc1SCC(=O)Nc2ccc(cc2)C(=O)OC)c3ccccc3
ZINC00705483,Validated,ChemBridge,4.34,5,CC1(CC2=C([C@H](C(=C(N2c3ccc(cc3)Cl)N)C#N)c4ccc(c(c4)OC)OC)C(=O)C1)C
ZINC01158836,Validated,ChemBridge,5.38,5,c1ccc(cc1)CSCC(=O)Nc2ccc(cc2)c3ccc(cc3)[N+](=O)[O-]
ZINC00936899,Validated,ChemBridge,3.85,"7,3",CCOc1ccc(cc1[C@H]2C3=C(CC(CC3=O)(C)C)Nc4n2ncn4)Br
ZINC01071924,Validated,ChemBridge,3.8,5,CCOC(=O)CSc1nnnn1c2cccc3c2cccc3
ZINC02029686,Validated,Enamine,2.28,5,C[C@@]12CC[C@@H](C1(C)C)C(=O)N(C2=O)CC#C
ZINC02876196,Validated,ChemBridge,3.72,5,c1ccc(cc1)n2c(nnn2)OCCOc3nnnn3c4ccccc4
ZINC02876525,Validated,ChemBridge,4.91,5,CS(=O)(=O)N(CC(=O)N1CCc2ccccc2C1)c3ccc(cc3)OCc4ccccc4
ZINC02878840,Validated,Specs,2.68,"6,5",CCCOc1ccc(cc1)N2C(=O)C[C@@H](C2=O)N3CCNC3=S
ZINC02878840,Validated,Specs,2.68,"6,5",CCCOc1ccc(cc1)N2C(=O)C[C@H](C2=O)N3CCNC3=S
ZINC02880705,Validated,ChemBridge,4.34,"6,5",CS(=O)(=O)N(CC(=O)Nc1c(cccc1F)F)c2cc(c(cc2Cl)Cl)Cl
ZINC02880840,Validated,ChemBridge,5.98,5,CC(C)N(Cc1nc(no1)c2ccccc2)C(=O)c3ccccc3CCc4ccccc4
ZINC02880968,Validated,ChemBridge,4.47,"6,5",c1ccc(c(c1)CN(C(=O)c2cccc(c2)[N+](=O)[O-])N3C(=O)c4ccccc4C3=O)F
ZINC17988913,Validated,Vitas‐M,5.51,"6,5",c1cc(ccc1C(=O)N(Cc2ccc(c(c2)Cl)Cl)N3C(=O)[C@@H]4CCCC[C@H]4C3=O)Cl
ZINC00581990,Validated,ChemBridge,3.48,5,C[C@H](C(=O)NC1CCCC1)N(c2ccc(cc2)Cl)S(=O)(=O)C
ZINC00249645,Validated,ChemBridge,5.13,5,CC(=O)c1ccc(cc1NC(=O)c2ccccc2)C(C)(C)C
ZINC02895418,Validated,ChemBridge,4.44,5,Cc1ccc(cc1)[C@@H](O)P(=O)(OCC(C)C)OCC(C)C
ZINC02801315,Validated,ChemBridge,4.21,"7,3",CCCCOC(=O)C1=C(NC2=C([C@H]1c3ccccc3OC)C(=O)CCC2)C
ZINC06862609,Validated,ChemBridge,2.18,"6,5",Cc1ccc2c(c1)c3c([nH]2)nc(nn3)N/N=C/C=C/c4ccco4
ZINC02900677,Validated,ChemBridge,2.69,5,C1COCCN1P(=O)(OCC(F)(F)F)OCC(F)(F)F
ZINC00438087,Validated,ChemBridge,3.79,2,c1cc(c(cc1)NC(=O)/C=C/c2occc2)NC(=O)/C=C/c3occc3
ZINC06191766,Validated,ChemBridge,4.82,"10,5",C/C(=C\c1ccco1)/[C@@H]2c3c([nH]nc3OC(=C2C#N)N)c4ccccc4
ZINC00261113,Validated,ChemBridge,3.72,5,Cc1ccc(cc1)C(=O)Nc2cccc(c2)C(=O)OC
ZINC02915570,Validated,ChemDiv,2.19,"7,3",c12n(ncn2)C(C2=C(N1)CCCC2=O)c1c(cc(c(c1)OC)OC)OC
ZINC02916360,Validated,ChemDiv,5.42,"7,3",COc1ccc(cc1)[C@H]2C[C@H](Nc3n2ncn3)c4ccc(cc4)c5ccccc5
ZINC02921992,Validated,ChemBridge,4.44,10,CCCCSC1=C([C@@H](C(=C(N1)C)C(=O)C)c2cccc(c2)[N+](=O)[O-])C#N
ZINC02923539,Validated,ChemBridge,2.48,"6,5",c1ccc(cc1)OP(=O)(Oc2ccccc2)O[C@H]3CS(=O)(=O)C=C3
ZINC02924873,Validated,ChemBridge,3.25,10,c1cc2c(cc1C(=O)c3ccc4c(c3)C(=O)N(C4=O)c5nccs5)C(=O)N(C2=O)c6nccs6
ZINC02916975,Validated,Enamine,2.87,"7,3",Cn1c(cc2c1nc3ccccn3c2=O)C(=O)N4CCC5(CC4)OCCO5
ZINC00678637,Validated,Specs,3.79,10,CCOC(=O)C1=C(NC2=C([C@H]1c3ccccc3OC)C(=O)C[C@@H](C2)c4ccc(c(c4)OC)OC)C
ZINC02927811,Validated,Enamine,4.46,5,c1cc(sc1)C(=O)Nc2ccc(cc2)S(=O)(=O)c3ccc(cc3)NC(=O)c4cccs4
ZINC00195942,Validated,ChemBridge,2.56,5,COc1ccc(cc1)N2C(=O)Cc3ccccc3C2=O
ZINC00867315,Validated,Vitas‐M,4.62,5,COc1ccc(cc1)[C@@H]2C3=C(C[C@@H](CC3=O)c4ccco4)Nc5ccccc5N2C(=O)C(F)(F)F
ZINC02942705,Validated,ChemBridge,2.68,10,CCc1c(c(on1)c2c(c3ccccc3[nH]2)C(=O)C(=O)N(C)C)C
ZINC02086643,Validated,ChemBridge,1.43,5,CCCC(=O)NC[C@@H](C)NC(=O)CCC
ZINC02944542,Validated,ChemDiv,4.24,5,[C@]12([C@]3(OC4(CC(OC4)=O)CC3)[C@@H](CCC1[C@]1([C@@H](OC(OC1)(C)C)CC2)C)C)C
ZINC00357428,Validated,Enamine,1.85,5,C[C@@H](c1ccccc1)NC(=O)C2CC2
ZINC02959368,Validated,ChemDiv,2.96,"10,5",CCOC(=O)C1CCN(CC1)C(=O)c2ccc(c(c2)/N=C\3/N[C@@H]4CS(=O)(=O)C[C@@H]4S3)Cl
ZINC00442382,Validated,ChemBridge,4.05,5,Cc1cccc(c1C)NC(=O)Cc2ccc(cc2)Br
ZINC02964424,Validated,ChemDiv,3.95,10,CC[C@H](C(=O)N1CCOCC1)SC2=Nc3ccccc3C4=N[C@H](C(=O)N42)Cc5ccccc5
ZINC02964517,Validated,ChemDiv,4.85,"7,3",CC[C@H](C(=O)Nc1ccc2c(c1)OCO2)SC3=Nc4ccccc4C5=N[C@H](C(=O)N53)CC(C)C
ZINC01023102,Validated,ChemDiv,5.8,5,c1cc(cc(c1)N2C(=O)/C(=C/c3ccsc3)/SC2=S)C(F)(F)F
ZINC00450333,Validated,ChemBridge,3.18,"10,5",c1cc(ccc1/C=N/Oc2nc(nc(n2)N3CCOCC3)N)[N+](=O)[O-]
ZINC02972969,Validated,Ambinter,5.96,5,Cc1c(c(=O)n(n1C)c2ccccc2)Nc3c(nc4ccccc4n3)Nc5cccc(c5)Cl
ZINC02973993,Validated,ChemDiv,5.31,5,c1ccc(cc1)C(=O)CSc2nc3cc(ccc3c(=O)n2Cc4ccco4)C(=O)N5CCC(CC5)C(=O)N
ZINC01128992,Validated,ChemBridge,4.15,8,Cc1cc(nc2c1cccc2)SCC(=O)NCc3ccc4c(c3)OCO4
ZINC02974884,Validated,ChemBridge,4.11,5,CCOc1cc(cc(c1OCC)OCC)C(=O)Nc2ccc(c(c2)OC)OC
ZINC00373349,Validated,ChemBridge,4.24,5,COc1ccc(cc1COc2c(c(cc(c2F)F)F)F)C=O
ZINC02975517,Validated,ChemBridge,2.84,5,CC[C@H](C)NC(=O)NC(C(F)(F)F)C(F)(F)F
ZINC00352805,Validated,ChemBridge,3.31,5,CCc1ccccc1NC(=O)[C@@]23CC[C@@](C2(C)C)(C(=O)O3)C
ZINC01187647,Validated,ChemBridge,4.74,5,Cc1ccc(cc1[N+](=O)[O-])N2C(=O)[C@H]3[C@H](C2=O)C4(c5ccccc5C3c6c4cccc6)C(=O)C
ZINC02992891,Validated,ChemBridge,3.97,5,CC1(Cc2c(cc(c(=O)n2c3ccccc3)C(=O)N[C@@H](CCSC)C(=O)OC)C(=O)C1)C
ZINC02996352,Validated,ChemBridge,4.71,5,Cc1ccc(cc1C)C(=O)COc2cccc(c2)N3C(=O)[C@H]4[C@@H]5CC[C@@H](C5)[C@H]4C3=O
ZINC02997580,Validated,ChemBridge,4.93,5,CCOc1cc(ccc1OCC#C)C2C3=C(CC(CC3=O)(C)C)OC4=C2C(=O)CC(C4)(C)C
ZINC02998535,Validated,ChemBridge,4.8,"6,5",C[C@@H](CCc1ccccc1)NC(=O)C(=O)NC[C@@H]2COc3ccccc3O2
ZINC03004885,Validated,Vitas‐M,4.9,5,C[C@H](c1ccccc1)NC(=O)CN(C2CCCCC2)S(=O)(=O)c3ccccc3
ZINC01163656,Validated,ChemBridge,2.52,"6,5",CCN1C(=O)/C(=C/c2cc(n(c2C)c3ccc4c(c3)OCO4)C)/SC1=S
ZINC03006765,Validated,ChemDiv,5.45,5,COc1cc2c(cc1OC)[C@H](N(CC2)C(=O)/C=C/c3ccccc3)COc4ccc(cc4)F
ZINC03007724,Validated,Life Chemicals,2.05,2,CCN(c1ccccc1)C(=O)C(=O)c2cn(c3c2cccc3)CC(=O)N4CCOCC4
ZINC03017635,Validated,Enamine,4.34,8,Cc1c(sc2c1c(=O)n(cn2)CC(=O)N[C@@H]3CCC[C@H]([C@H]3C)C)C
ZINC00041369,Validated,ChemBridge,3.56,5,c1ccc2c(c1)c(c(s2)C(=O)NC[C@@H]3CCCO3)Cl
ZINC00655766,Validated,ChemBridge,4.3,5,Cc1ccc(cc1)N(CC(=O)NC[C@@H]2CCCO2)S(=O)(=O)c3ccc(cc3)SC
ZINC03033574,Validated,ChemDiv,4.75,5,CCOC(=O)C(C)(C)N(CCC(C)C)S(=O)(=O)c1ccc(cc1)[N+](=O)[O-]
ZINC03344047,Validated,Enamine,2.47,"7,3",c1ccc(cc1)n2c(=O)c3ccccc3c(n2)C(=O)N4CCOCC4
ZINC01083487,Validated,ChemBridge,5.89,5,CCCc1ccc(c(c1)OC)OCc2ccc(o2)C(=O)Nc3ccccc3C(=O)OC
ZINC03040513,Validated,ChemDiv,5.6,5,c1cc(cc(c1)Br)[C@@H]2C(=O)N(CC(=O)N2CCC3=CCCCC3)C4CCCCC4
ZINC03060391,Validated,ChemDiv,4.92,5,CC1CCN(CC1)S(=O)(=O)N2CCC(CC2)C(=O)N[C@@H](C)c3ccccc3
ZINC00721789,Validated,Vitas‐M,4.41,5,c1ccc(cc1)CNC(=O)/C(=C/c2ccc(cc2)Cl)/NC(=O)c3ccccc3
ZINC03105523,Validated,Enamine,2.55,5,c1ccc(c(c1)C(F)(F)F)NC(=O)C2CCC2
ZINC03117530,Validated,Chemical Block,1.98,2,CC(=O)N1CC(=O)N([C@@H]1c2ccc(cc2Cl)Cl)OCOC
ZINC03223956,Validated,Enamine,5.35,5,CCCCOc1ccc(cc1)C(=O)N(CCN2C(=O)c3ccccc3C2=O)c4cccc(c4)OC
ZINC03232082,Validated,Enamine,5.68,5,COc1cc(ccc1OCc2ccccc2)/C=N\n3cnc4c(c3=O)c5c(s4)CCCC5
ZINC02871160,Validated,ChemBridge,3.25,5,C[C@]12CC[C@@H]3[C@]1(CN([C@]2(C3)C#N)C(=O)c4cccc(c4)[N+](=O)[O-])C
ZINC01126453,Validated,ChemBridge,3.56,5,Cc1ccc(cc1)N2[C@H]3CS(=O)(=O)C[C@H]3N(C2=O)c4cccc(c4)Cl
ZINC03241789,Validated,Enamine,4.34,"7,3",Cc1cc(nc(n1)n2c3c(c(n2)C)[C@H]([C@@H]4C(=O)CC(C=C4N3)(C)C)c5ccco5)C
ZINC12600540,Validated,Enamine,4.39,5,C[C@@H]1CCC[C@@H](N1C(=O)COC(=O)c2ccc3c(c2)S(=O)(=O)c4ccccc4C3=O)C
ZINC03244173,Validated,Enamine,4.98,5,c1ccc(cc1)CC2CCN(CC2)C(=O)COC(=O)C3CCCCC3
ZINC03245216,Validated,Enamine,2.59,"10,5",Cn1c(c(c(=O)n(c1=O)C)C(=O)CSc2c(nc3ccccc3n2)SCC(=O)c4c(n(c(=O)n(c4=O)C)C)N)N
ZINC03246579,Validated,Enamine‐REAL,3.68,"6,5",COc1cc(ccc1OS(=O)(=O)c2ccc(c(c2)F)F)C=O
ZINC00379555,Validated,ChemBridge,3.43,5,COc1ccc(cc1)S(=O)(=O)N(CC(=O)OC)c2ccccc2
ZINC03248157,Validated,Enamine,5.31,5,c1ccc2c(c1)CCN2S(=O)(=O)c3cccc(c3)C(=O)OCC(=O)Nc4ccc(c(c4F)F)F
ZINC12616401,Validated,Enamine,6.27,5,CC1(c2ccccc2N(C1=CC(=O)COC(=O)C(c3ccccc3)c4ccccc4)C)C
ZINC00087965,Validated,ChemBridge,5.17,5,c1cc(cc(c1)[N+](=O)[O-])c2nc(on2)CC3CCCCC3
ZINC03257631,Validated,Enamine,4.46,"10,5",Cc1ccc(cc1)S(=O)(=O)N(C)c2ccc(cc2)OCC(=O)N3CCN(CC3)c4ncccn4
ZINC03264205,Validated,Enamine,4.97,"6,5",C[C@H]1CCCN(C1)C(=O)COC(=O)COc2cc(c(cc2Cl)Cl)Cl
ZINC03264497,Validated,Enamine‐REAL,5.59,"6,5",COc1cc(cc(c1OC)OC)C(=O)COC(=O)CCCOc2ccc(cc2Cl)Cl
ZINC03270888,Validated,Enamine,0.61,"6,5",C[C@@H](COC)NC(=O)CCl
ZINC03272800,Validated,Enamine,1.56,2,Cc1c(c2ccccc2[nH]1)C3=CN4CCS(=O)(=O)N=C4S3
ZINC03273046,Validated,Enamine,4.38,5,Cc1c(c(no1)c2c(cccc2Cl)F)C(=O)OCC(=O)N3[C@@H](CCC[C@H]3C)C
ZINC05950541,Validated,Enamine,4.96,8,CC[C@H]1CS/C(=N/c2cccc(c2)C)/N1C(=O)CCN3C(=O)c4ccccc4C3=O
ZINC03287055,Validated,Enamine,4.92,"6,5",c1cc(cc(c1)CNC(=O)/C(=C/c2cc3c(cc2)OCO3)/C#N)CNC(=O)/C(=C/c4cc5c(cc4)OCO5)/C#N
ZINC03294668,Validated,Enamine,6.04,"10,5",CCc1cc2c(s1)nc(n(c2=O)CC=C)SCC(=O)N3C[C@]4(C[C@@H]3CC(C4)(C)C)C
ZINC03295804,Validated,Enamine,3.63,5,CCOC(=O)c1c([nH]c(c1C(=O)COC(=O)c2ccc(c(c2)S(=O)(=O)N3CCOCC3)F)C)C
ZINC03297362,Validated,Enamine,5.36,8,COc1cc(ccc1OC(F)F)/C=C/C(=O)Nc2ccc(cc2)N3CCCCC3
ZINC03299308,Validated,Enamine,3.61,"10,5",CC[C@@H]1CCCCN1C(=O)CSc2nc(cc(n2)C)C
ZINC03302230,Validated,Enamine,4.59,"10,5",Cn1c(c(c(=O)n(c1=O)C)C(=O)COC(=O)c2cc(ccc2OC)S(=O)(=O)N3CCCCCC3)N
ZINC12658225,Validated,Enamine,5.4,"10,5",c1ccc\2c(c1)CN(/C2=N/C(=O)/C(=C/c3ccc4c(c3)OCO4)/C#N)c5cccc(c5)[N+](=O)[O-]
ZINC03303526,Validated,Enamine,4.54,2,Cc1ccc(s1)C(=O)NCC(=O)O[C@H](c2ccccc2)C(=O)Nc3ccc(c(c3)Cl)OC
ZINC03307144,Validated,Enamine,1.14,2,CCN(CC)S(=O)(=O)c1ccc(cc1)C(=O)N2CCNC(=O)[C@H]2CC(=O)OC
ZINC00107756,Validated,Specs,1.48,"7,3",Cc1c(sc(n1)N)C(=O)OC
ZINC03314367,Validated,Enamine,4.47,"6,5",CCOC(=O)c1c(c(c([nH]1)C)C(=O)OCC(=O)N2CCc3c2cccc3)C
ZINC03315666,Validated,Enamine,6.8,"6,5",CCCCNC(=S)N(C)/N=C/c1ccc(c(c1)OC)OCc2ccc(cc2)Cl
ZINC03325954,Validated,Enamine,4.1,5,CCCN(CC1CC1)C(=S)Nc2cc(ccc2Cl)[N+](=O)[O-]
ZINC03328732,Validated,Enamine,4.63,"10,5",c1ccc2c(c1)c(cc(n2)c3ccccc3Cl)C(=O)N4C(=O)c5cccc(c5C4=O)N
